id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual,label
8000349563005034.0,119.078842745443,3.354320701268,8000.0,349563.0,5034.0,REX,0.09099999815225601,R3,0.5709999799728394,0.15000000596046448,1.0,1.0,Low Surface Brightness Galaxy
8000387778002489.0,12.303235070668,10.035919626135,8000.0,387778.0,2489.0,EXP,0.0020000000949949026,E3,0.23100000619888306,0.054999999701976776,0.0,0.0,Low Surface Brightness Galaxy
8000084958002509.0,12.764084042611,-47.996511990111,8000.0,84958.0,2509.0,REX,0.0020000000949949026,R1,0.4620000123977661,0.3370000123977661,0.0,0.0,Low Surface Brightness Galaxy
8000434314002352.0,120.363468688542,18.246514072475,8000.0,434314.0,2352.0,PSF,0.21699999272823334,P9,0.9990000128746033,0.4519999921321869,1.0,0.0,Low Surface Brightness Galaxy
8000432946000963.0,121.403009625159,17.940463567467,8000.0,432946.0,963.0,PSF,0.996999979019165,P8,5.3480000495910645,0.5889999866485596,0.0,0.0,Low Surface Brightness Galaxy
8000498597003410.0,121.409991200672,30.534058385598,8000.0,498597.0,3410.0,PSF,0.0020000000949949026,P2,1.2209999561309814,0.5799999833106995,1.0,0.0,Low Surface Brightness Galaxy
8000355325000800.0,121.581066403586,4.15516437592,8000.0,355325.0,800.0,REX,0.0020000000949949026,R8,1.1399999856948853,0.13899999856948853,1.0,1.0,Low Surface Brightness Galaxy
8000333765000121.0,129.306092733704,0.378920223077,8000.0,333765.0,121.0,REX,0.004999999888241291,R7,0.7710000276565552,0.1720000058412552,1.0,1.0,Low Surface Brightness Galaxy
8000475333003948.0,13.883098792335,26.064972383993,8000.0,475333.0,3948.0,PSF,0.023000000044703484,P7,1.0509999990463257,0.22499999403953552,1.0,1.0,Low Surface Brightness Galaxy
8001549966002091.0,133.410337194558,41.500643749068,8001.0,549966.0,2091.0,REX,0.004000000189989805,R7,0.8920000195503235,0.22200000286102295,1.0,1.0,Low Surface Brightness Galaxy
8000349623001595.0,134.032174311479,3.194465487734,8000.0,349623.0,1595.0,REX,0.0020000000949949026,R7,0.45500001311302185,0.2590000033378601,1.0,1.0,Low Surface Brightness Galaxy
8000381163000295.0,137.931203827125,8.641955826701,8000.0,381163.0,295.0,REX,0.28999999165534973,R5,1.1950000524520874,0.671999990940094,1.0,0.0,Low Surface Brightness Galaxy
8000503616001380.0,141.816982909978,31.448964291643,8000.0,503616.0,1380.0,REX,0.019999999552965164,R5,1.1360000371932983,0.13699999451637268,1.0,1.0,Low Surface Brightness Galaxy
8001655906001003.0,142.734682773575,78.940304775709,8001.0,655906.0,1003.0,EXP,0.0010000000474974513,E1,0.6769999861717224,0.08100000023841858,1.0,1.0,Low Surface Brightness Galaxy
8001573747000630.0,143.226392188261,47.16901259005,8001.0,573747.0,630.0,EXP,0.7689999938011169,E8,0.49300000071525574,0.05700000002980232,0.0,0.0,Low Surface Brightness Galaxy
8000300727003961.0,143.664335518713,-5.160738682822,8000.0,300727.0,3961.0,PSF,0.1850000023841858,P5,1.3070000410079956,0.5529999732971191,1.0,0.0,Low Surface Brightness Galaxy
8000466662003873.0,145.060341796323,24.333591078533,8000.0,466662.0,3873.0,REX,0.0010000000474974513,R5,1.0729999542236328,0.27900001406669617,1.0,1.0,Low Surface Brightness Galaxy
8000461380000338.0,145.061359126311,23.147978078442,8000.0,461380.0,338.0,EXP,0.019999999552965164,E9,0.032999999821186066,0.008999999612569809,1.0,1.0,Low Surface Brightness Galaxy
8000480508002208.0,15.180098140984,27.000824666323,8000.0,480508.0,2208.0,PSF,0.0020000000949949026,P3,0.9470000267028809,0.14900000393390656,1.0,1.0,Low Surface Brightness Galaxy
8001649893001168.0,151.33913917173,74.449324278318,8001.0,649893.0,1168.0,EXP,0.949999988079071,E9,0.03200000151991844,0.03200000151991844,1.0,1.0,Low Surface Brightness Galaxy
8000498709003075.0,153.854270936657,30.534154260504,8000.0,498709.0,3075.0,PSF,0.609000027179718,P1,0.8029999732971191,0.23899999260902405,1.0,0.0,Low Surface Brightness Galaxy
8001594220000839.0,156.208309822841,52.670371107279,8001.0,594220.0,839.0,REX,0.0010000000474974513,R8,1.1920000314712524,0.09600000083446503,1.0,1.0,Low Surface Brightness Galaxy
8000287887003805.0,156.425441187437,-7.437294025202,8000.0,287887.0,3805.0,EXP,0.019999999552965164,E8,0.40799999237060547,0.06300000101327896,1.0,1.0,Low Surface Brightness Galaxy
8001650663001078.0,156.593629917819,74.952208414657,8001.0,650663.0,1078.0,PSF,0.0010000000474974513,P9,1.194000005722046,0.25200000405311584,1.0,1.0,Low Surface Brightness Galaxy
8001623744001955.0,158.179097947477,62.245596115329,8001.0,623744.0,1955.0,PSF,0.017999999225139618,P6,1.2139999866485596,0.5419999957084656,1.0,0.0,Low Surface Brightness Galaxy
8000460103003819.0,158.668012887748,23.089028963878,8000.0,460103.0,3819.0,PSF,0.6179999709129333,P2,1.6069999933242798,1.1710000038146973,0.0,0.0,Low Surface Brightness Galaxy
8000464077001688.0,159.209324316556,23.726197190916,8000.0,464077.0,1688.0,REX,0.0010000000474974513,R5,1.0080000162124634,0.20999999344348907,1.0,1.0,Low Surface Brightness Galaxy
8000456114001518.0,159.935839567564,22.201623149518,8000.0,456114.0,1518.0,EXP,0.0020000000949949026,E5,0.3179999887943268,0.30399999022483826,1.0,0.0,Low Surface Brightness Galaxy
8001635551002768.0,161.469498856268,67.077235012048,8001.0,635551.0,2768.0,EXP,0.014999999664723873,E8,0.48100000619888306,0.05700000002980232,0.0,0.0,Low Surface Brightness Galaxy
8000498736002572.0,161.635654234249,30.518468750267,8000.0,498736.0,2572.0,REX,0.2879999876022339,R7,0.8019999861717224,0.33500000834465027,1.0,1.0,Low Surface Brightness Galaxy
8001554356003185.0,164.677893004005,42.591524177573,8001.0,554356.0,3185.0,PSF,0.8149999976158142,P2,0.41499999165534973,0.38499999046325684,1.0,0.0,Low Surface Brightness Galaxy
8001606007001172.0,168.048421031463,56.198504747754,8001.0,606007.0,1172.0,REX,0.0020000000949949026,R0,0.7599999904632568,0.35199999809265137,1.0,1.0,Low Surface Brightness Galaxy
8001522961001642.0,168.125640084187,35.483724578097,8001.0,522961.0,1642.0,REX,0.003000000026077032,R4,0.6140000224113464,0.05900000035762787,1.0,1.0,Low Surface Brightness Galaxy
8000314597003225.0,17.46503860667,-2.758504829036,8000.0,314597.0,3225.0,REX,0.17599999904632568,R4,0.6460000276565552,0.125,1.0,1.0,Low Surface Brightness Galaxy
8000352643002631.0,170.031894457813,3.757646174023,8000.0,352643.0,2631.0,PSF,0.0010000000474974513,P7,0.9679999947547913,0.41999998688697815,1.0,0.0,Low Surface Brightness Galaxy
8001568864002149.0,172.34859858743,46.119634610676,8001.0,568864.0,2149.0,PSF,0.009999999776482582,P3,0.5490000247955322,0.2280000001192093,0.0,0.0,Low Surface Brightness Galaxy
8000305151003669.0,172.963051261898,-4.424302468978,8000.0,305151.0,3669.0,REX,0.006000000052154064,R8,1.25600004196167,0.11400000005960464,1.0,1.0,Low Surface Brightness Galaxy
8000349784003381.0,174.409408444234,3.315396727406,8000.0,349784.0,3381.0,REX,0.0020000000949949026,R8,0.6240000128746033,0.1850000023841858,1.0,1.0,Low Surface Brightness Galaxy
